Airline,FlightNumber,Departure,Arrival,DepartureTime,ArrivalTime,Delay
Lufthansa,6595,Paris,Doha,Evening,Night,On Time
American Airlines,8244,New York,Sydney,Afternoon,Morning,Delayed
Swiss International Air Lines,4311,Berlin,Madrid,Afternoon,Night,On Time
South Korea Air,8059,Dubai,Dubai,Night,Afternoon,On Time
ITA Airways,5879,New York,New York,Afternoon,Morning,Cancelled
Swiss International Air Lines,228,Dubai,New York,Night,Night,On Time
Japan Airlines,8875,Doha,Madrid,Afternoon,Morning,Delayed
ITA Airways,8590,Tokyo,London,Afternoon,Morning,Cancelled
Lufthansa,1017,Berlin,Sydney,Afternoon,Morning,Cancelled
Turkish Airlines,4336,Sydney,Rome,Afternoon,Afternoon,Cancelled
ITA Airways,634,Paris,Tokyo,Evening,Morning,Cancelled
Kuwait Airways,2386,London,Doha,Afternoon,Night,Cancelled
Turkish Airlines,596,Berlin,Rome,Morning,Evening,On Time
South Korea Air,3281,Paris,Paris,Night,Night,Delayed
British Airways,752,Sydney,Madrid,Morning,Evening,Delayed
ANA,2912,Rome,Berlin,Night,Night,Cancelled
Lufthansa,3660,Paris,London,Afternoon,Morning,Cancelled
ITA Airways,2717,New York,London,Afternoon,Afternoon,Cancelled
American Airlines,6492,Madrid,London,Afternoon,Morning,Cancelled
ITA Airways,747,New York,Dubai,Morning,Night,Delayed
Turkish Airlines,137,New York,Paris,Night,Night,On Time
British Airways,1702,Doha,Doha,Morning,Morning,On Time
British Airways,2547,Madrid,London,Morning,Evening,On Time
Air Algerie,9984,Dubai,Tokyo,Morning,Afternoon,Cancelled
Emirates,7389,Dubai,Dubai,Afternoon,Night,Delayed
Delta Airlines,463,Dubai,Madrid,Evening,Evening,Cancelled
Air Algerie,4410,Doha,Doha,Night,Evening,Delayed
South Korea Air,8234,London,Paris,Morning,Evening,Cancelled
Turkish Airlines,1078,Tokyo,Madrid,Evening,Morning,Delayed
ANA,4336,Tokyo,Doha,Morning,Afternoon,Cancelled
Qatar Airways,3296,Paris,New York,Evening,Night,On Time
Saudi Arabian Airlines,4676,Sydney,Sydney,Afternoon,Afternoon,Delayed
Lufthansa,6873,Berlin,London,Morning,Morning,Delayed
Swiss International Air Lines,5332,Berlin,Paris,Night,Evening,Delayed
Emirates,8992,Tokyo,Rome,Night,Afternoon,On Time
American Airlines,6285,London,Dubai,Morning,Morning,Delayed
Delta Airlines,6152,New York,London,Evening,Morning,Cancelled
Qatar Airways,8465,Dubai,Doha,Afternoon,Afternoon,On Time
Air Algerie,7591,Doha,New York,Afternoon,Night,On Time
American Airlines,4113,Paris,Madrid,Night,Morning,Delayed
Kuwait Airways,1402,Madrid,Berlin,Evening,Night,Delayed
Qatar Airways,4191,Dubai,London,Evening,Morning,Cancelled
Kuwait Airways,491,Sydney,Berlin,Afternoon,Morning,Cancelled
ITA Airways,9267,Rome,New York,Evening,Evening,On Time
Saudi Arabian Airlines,7400,Berlin,Doha,Morning,Night,On Time
Swiss International Air Lines,9328,Madrid,New York,Night,Afternoon,Cancelled
Delta Airlines,6013,New York,New York,Afternoon,Night,Delayed
American Airlines,2224,London,Madrid,Evening,Night,On Time
ITA Airways,4125,New York,New York,Evening,Evening,Cancelled
Emirates,8354,Dubai,New York,Afternoon,Evening,On Time
Etihad Airways,3639,Paris,Berlin,Morning,Morning,On Time
Swiss International Air Lines,1835,Paris,Madrid,Morning,Afternoon,Delayed
Air Algerie,3211,Paris,London,Evening,Morning,On Time
British Airways,1623,Rome,Tokyo,Night,Afternoon,On Time
Qatar Airways,2235,Dubai,Dubai,Afternoon,Night,On Time
Qatar Airways,4569,Doha,Paris,Night,Morning,On Time
Delta Airlines,9350,Madrid,London,Night,Evening,Cancelled
American Airlines,1111,Madrid,Rome,Afternoon,Night,Cancelled
British Airways,1045,Tokyo,Doha,Evening,Morning,On Time
Lufthansa,8950,Doha,Paris,Afternoon,Evening,On Time
Qatar Airways,511,New York,New York,Afternoon,Evening,Delayed
Turkish Airlines,7374,Madrid,New York,Evening,Evening,On Time
ANA,5422,Tokyo,Sydney,Evening,Evening,On Time
Delta Airlines,8154,Dubai,Doha,Morning,Evening,Cancelled
Etihad Airways,6960,Doha,London,Morning,Evening,Cancelled
American Airlines,7028,Rome,New York,Morning,Morning,Delayed
Delta Airlines,5593,London,Berlin,Evening,Afternoon,Cancelled
ITA Airways,494,Paris,Sydney,Night,Afternoon,Cancelled
Emirates,3584,Berlin,Rome,Night,Night,Delayed
Emirates,4372,Sydney,New York,Afternoon,Morning,Delayed
ANA,7416,New York,Tokyo,Morning,Evening,Delayed
Qatar Airways,2269,Paris,Tokyo,Afternoon,Afternoon,Delayed
British Airways,2105,Doha,Doha,Night,Evening,On Time
Kuwait Airways,2582,Berlin,Paris,Evening,Evening,On Time
Lufthansa,4164,Doha,Doha,Afternoon,Night,Cancelled
Japan Airlines,7313,Dubai,Dubai,Evening,Morning,On Time
Japan Airlines,5453,Sydney,Dubai,Evening,Afternoon,Delayed
Delta Airlines,6716,Rome,Sydney,Afternoon,Morning,Cancelled
Japan Airlines,4909,Madrid,New York,Night,Afternoon,Cancelled
Air Algerie,2252,Berlin,New York,Night,Morning,Delayed
Air Algerie,5003,London,Sydney,Night,Evening,Delayed
Emirates,7355,Sydney,Paris,Morning,Afternoon,On Time
American Airlines,3214,New York,Paris,Evening,Night,Cancelled
Delta Airlines,8647,London,Madrid,Night,Afternoon,On Time
Swiss International Air Lines,8853,London,Tokyo,Evening,Evening,Cancelled
ANA,3296,Paris,Sydney,Afternoon,Afternoon,Delayed
Turkish Airlines,8491,Tokyo,New York,Night,Afternoon,On Time
American Airlines,4512,Tokyo,Tokyo,Afternoon,Night,On Time
British Airways,4676,Dubai,Doha,Evening,Afternoon,Delayed
Delta Airlines,8737,Madrid,Doha,Night,Night,On Time
Kuwait Airways,5455,Doha,Sydney,Morning,Afternoon,Delayed
South Korea Air,1644,London,Tokyo,Evening,Evening,Delayed
Japan Airlines,6664,Madrid,Paris,Afternoon,Evening,On Time
British Airways,7321,Doha,Paris,Evening,Morning,Delayed
ITA Airways,287,Madrid,Tokyo,Evening,Morning,Cancelled
Kuwait Airways,1849,Tokyo,Paris,Night,Evening,On Time
Emirates,6636,Doha,Paris,Night,Evening,Delayed
Qatar Airways,7999,Madrid,Dubai,Morning,Night,On Time
Delta Airlines,7536,Tokyo,London,Morning,Afternoon,On Time
Saudi Arabian Airlines,3141,Dubai,New York,Afternoon,Afternoon,On Time
Delta Airlines,3581,Rome,Paris,Morning,Evening,Cancelled
ANA,2440,New York,Berlin,Morning,Morning,On Time
Qatar Airways,7411,Berlin,Doha,Morning,Evening,On Time
Kuwait Airways,4294,Paris,New York,Morning,Morning,On Time
Lufthansa,4466,London,Paris,Afternoon,Evening,Delayed
Turkish Airlines,6424,Dubai,Dubai,Afternoon,Afternoon,On Time
Lufthansa,5498,Doha,Sydney,Morning,Morning,On Time
South Korea Air,3952,Dubai,New York,Evening,Night,Delayed
Swiss International Air Lines,3896,Sydney,Berlin,Night,Afternoon,Delayed
Etihad Airways,9104,Dubai,Tokyo,Night,Morning,On Time
American Airlines,2790,Dubai,Madrid,Night,Night,Cancelled
Saudi Arabian Airlines,5507,Paris,Doha,Evening,Morning,Cancelled
Air Algerie,9112,Doha,Berlin,Evening,Night,Cancelled
ANA,7010,New York,Dubai,Morning,Evening,On Time
Swiss International Air Lines,8178,Madrid,Sydney,Evening,Night,Delayed
Delta Airlines,1622,Rome,Paris,Afternoon,Night,Cancelled
British Airways,1329,Madrid,Madrid,Morning,Evening,Delayed
Swiss International Air Lines,4174,Sydney,Paris,Morning,Night,Delayed
American Airlines,4405,New York,New York,Afternoon,Evening,On Time
Japan Airlines,5448,Paris,Rome,Morning,Evening,Cancelled
ANA,7908,Doha,Madrid,Afternoon,Evening,On Time
Emirates,8610,Madrid,Berlin,Morning,Afternoon,Cancelled
American Airlines,6876,New York,Tokyo,Afternoon,Morning,Cancelled
Air Algerie,7399,Rome,Dubai,Afternoon,Night,On Time
Air Algerie,7055,New York,Dubai,Night,Morning,On Time
Delta Airlines,8221,Paris,Paris,Night,Night,Delayed
Delta Airlines,1402,Sydney,Rome,Evening,Night,Cancelled
Emirates,4599,Paris,Sydney,Morning,Morning,Delayed
American Airlines,628,Doha,Rome,Morning,Evening,Cancelled
ITA Airways,774,Dubai,Paris,Morning,Afternoon,Delayed
British Airways,4104,Madrid,London,Morning,Afternoon,Cancelled
Delta Airlines,4780,New York,Tokyo,Morning,Afternoon,Cancelled
Air Algerie,6106,Paris,Berlin,Afternoon,Evening,On Time
Kuwait Airways,450,New York,London,Night,Evening,Cancelled
Saudi Arabian Airlines,2502,Sydney,Madrid,Afternoon,Night,Cancelled
Etihad Airways,1142,New York,Doha,Afternoon,Night,Cancelled
Qatar Airways,5158,Dubai,London,Afternoon,Morning,On Time
South Korea Air,5210,Doha,New York,Afternoon,Afternoon,Delayed
Etihad Airways,4376,Sydney,Doha,Morning,Morning,Delayed
Kuwait Airways,212,Sydney,Tokyo,Afternoon,Evening,Cancelled
Turkish Airlines,3398,Madrid,Paris,Evening,Afternoon,Delayed
Japan Airlines,2969,Berlin,Doha,Night,Evening,Delayed
British Airways,7533,Berlin,London,Morning,Afternoon,Delayed
Swiss International Air Lines,2639,Berlin,Rome,Morning,Morning,Cancelled
Air Algerie,9133,New York,Sydney,Night,Night,On Time
Emirates,8491,Doha,New York,Night,Evening,Cancelled
American Airlines,6317,Tokyo,New York,Night,Evening,Delayed
Qatar Airways,9238,Paris,Berlin,Evening,Night,Delayed
Kuwait Airways,7121,Madrid,New York,Evening,Morning,Delayed
Kuwait Airways,6737,Paris,Doha,Evening,Afternoon,On Time
Japan Airlines,7937,Berlin,Tokyo,Afternoon,Morning,Cancelled
Air Algerie,4470,Tokyo,Sydney,Evening,Morning,Delayed
Air Algerie,852,Berlin,Paris,Evening,Morning,Cancelled
Saudi Arabian Airlines,3135,London,Madrid,Night,Night,Cancelled
Japan Airlines,2086,Tokyo,Tokyo,Evening,Afternoon,Cancelled
ANA,8371,Doha,Doha,Morning,Afternoon,Delayed
ANA,2233,Sydney,Rome,Morning,Afternoon,On Time
Saudi Arabian Airlines,955,Sydney,Tokyo,Night,Evening,Delayed
Qatar Airways,9689,Sydney,New York,Evening,Night,Delayed
British Airways,2034,Sydney,Sydney,Afternoon,Evening,On Time
Etihad Airways,5299,Dubai,Sydney,Night,Afternoon,Cancelled
Qatar Airways,3711,Tokyo,Sydney,Night,Afternoon,On Time
Air Algerie,4307,Tokyo,Rome,Night,Afternoon,Cancelled
Turkish Airlines,7076,Rome,London,Night,Night,Delayed
Turkish Airlines,8658,Doha,Dubai,Morning,Morning,Delayed
Etihad Airways,1752,Dubai,Dubai,Evening,Morning,Delayed
Swiss International Air Lines,3609,London,Paris,Afternoon,Evening,Delayed
South Korea Air,2482,New York,Paris,Afternoon,Night,Cancelled
British Airways,8179,Berlin,London,Night,Night,On Time
Swiss International Air Lines,9722,Madrid,Paris,Night,Morning,Delayed
Emirates,9557,Paris,Sydney,Afternoon,Afternoon,Cancelled
Japan Airlines,533,London,Madrid,Night,Night,Delayed
Qatar Airways,9125,Rome,London,Evening,Morning,On Time
ITA Airways,7504,Rome,Tokyo,Night,Morning,Cancelled
American Airlines,8067,Paris,Rome,Evening,Morning,Cancelled
Emirates,4688,Dubai,Sydney,Evening,Afternoon,Delayed
Qatar Airways,3579,Madrid,Paris,Evening,Morning,Delayed
Swiss International Air Lines,6043,Rome,Paris,Night,Night,Delayed
British Airways,7344,Rome,New York,Morning,Night,Delayed
Swiss International Air Lines,7222,Tokyo,Rome,Evening,Morning,On Time
Swiss International Air Lines,728,Dubai,Sydney,Night,Afternoon,Cancelled
Swiss International Air Lines,7038,Madrid,New York,Afternoon,Afternoon,On Time
Etihad Airways,2209,London,Rome,Afternoon,Night,On Time
South Korea Air,5163,Sydney,Paris,Morning,Night,Cancelled
Air Algerie,6332,Paris,Madrid,Evening,Evening,Cancelled
ANA,8156,Tokyo,Dubai,Night,Morning,Delayed
American Airlines,9827,New York,Doha,Afternoon,Morning,On Time
ANA,6192,Tokyo,Doha,Morning,Evening,Delayed
Japan Airlines,6355,Paris,Berlin,Afternoon,Night,Cancelled
British Airways,2806,Dubai,Sydney,Morning,Night,Cancelled
Qatar Airways,1363,Madrid,Sydney,Morning,Afternoon,On Time
Turkish Airlines,1968,Sydney,Tokyo,Night,Morning,On Time
Etihad Airways,3868,New York,Madrid,Afternoon,Evening,Delayed
Turkish Airlines,1957,Berlin,Dubai,Morning,Night,Cancelled
British Airways,671,Dubai,Paris,Afternoon,Afternoon,On Time
ITA Airways,1321,Madrid,New York,Morning,Night,Cancelled
Saudi Arabian Airlines,9120,New York,Madrid,Afternoon,Morning,Cancelled
Delta Airlines,5402,Paris,Tokyo,Morning,Afternoon,On Time
Air Algerie,5710,Dubai,Tokyo,Night,Evening,On Time
Delta Airlines,525,Tokyo,Doha,Morning,Evening,Delayed
British Airways,2461,Berlin,Tokyo,Night,Evening,Cancelled
Delta Airlines,8565,New York,Rome,Afternoon,Evening,Cancelled
Delta Airlines,6249,Rome,Sydney,Night,Afternoon,On Time
Swiss International Air Lines,4291,New York,Doha,Night,Evening,Delayed
Air Algerie,9647,London,Rome,Afternoon,Night,Delayed
British Airways,6853,Berlin,Berlin,Evening,Afternoon,Cancelled
Turkish Airlines,4632,Berlin,New York,Afternoon,Evening,On Time
Lufthansa,9474,New York,Sydney,Evening,Evening,Delayed
South Korea Air,8149,New York,Rome,Morning,Evening,Cancelled
ANA,5821,Sydney,Dubai,Evening,Afternoon,On Time
British Airways,2575,Sydney,Madrid,Afternoon,Morning,Cancelled
Japan Airlines,7935,Rome,Dubai,Night,Evening,Delayed
Lufthansa,8414,Berlin,Tokyo,Afternoon,Night,Cancelled
British Airways,3893,Rome,Sydney,Night,Morning,On Time
ANA,4367,Sydney,Tokyo,Afternoon,Evening,Cancelled
Kuwait Airways,8051,New York,Berlin,Evening,Afternoon,On Time
Saudi Arabian Airlines,801,Madrid,Tokyo,Morning,Evening,Delayed
Air Algerie,4357,Doha,Doha,Night,Evening,On Time
British Airways,4829,Dubai,New York,Afternoon,Night,Delayed
Air Algerie,9061,Rome,Berlin,Morning,Afternoon,Cancelled
ITA Airways,3566,Tokyo,Rome,Night,Afternoon,Cancelled
Qatar Airways,7954,Madrid,Madrid,Afternoon,Morning,Cancelled
ANA,1366,Berlin,London,Night,Afternoon,Delayed
Qatar Airways,8834,Sydney,Doha,Evening,Night,On Time
Qatar Airways,3050,Dubai,London,Evening,Night,On Time
Delta Airlines,3659,Tokyo,New York,Night,Evening,On Time
ANA,4968,New York,Sydney,Afternoon,Afternoon,Cancelled
Japan Airlines,7420,Paris,Madrid,Morning,Morning,Delayed
British Airways,3291,London,Tokyo,Evening,Night,Delayed
ANA,7557,Paris,London,Evening,Morning,Cancelled
British Airways,3420,New York,Dubai,Night,Evening,Cancelled
Swiss International Air Lines,5635,Dubai,Paris,Evening,Night,On Time
Etihad Airways,6085,Madrid,Paris,Morning,Evening,Cancelled
Swiss International Air Lines,3066,Sydney,Sydney,Morning,Afternoon,On Time
British Airways,7390,Tokyo,Dubai,Afternoon,Afternoon,Delayed
British Airways,2160,Dubai,Sydney,Afternoon,Night,On Time
Emirates,1595,Dubai,Berlin,Night,Evening,On Time
American Airlines,3520,Madrid,Rome,Evening,Morning,On Time
ANA,1789,New York,Tokyo,Afternoon,Night,On Time
Air Algerie,3891,Madrid,London,Afternoon,Morning,Delayed
Delta Airlines,2414,Tokyo,New York,Night,Night,Cancelled
Etihad Airways,4809,Sydney,Tokyo,Evening,Afternoon,Delayed
ITA Airways,5090,Berlin,Berlin,Night,Morning,Delayed
Air Algerie,5479,Rome,Madrid,Evening,Morning,Cancelled
Saudi Arabian Airlines,104,Sydney,New York,Evening,Evening,On Time
Kuwait Airways,173,Paris,Madrid,Morning,Morning,Delayed
American Airlines,4851,Rome,Dubai,Evening,Night,On Time
ANA,1682,Paris,Doha,Night,Night,On Time
American Airlines,7115,Paris,Madrid,Morning,Morning,Cancelled
South Korea Air,8758,Dubai,Madrid,Night,Night,Delayed
Saudi Arabian Airlines,9064,New York,Berlin,Night,Evening,Delayed
Swiss International Air Lines,7130,London,Rome,Morning,Night,Delayed
American Airlines,5069,Rome,Berlin,Morning,Night,Cancelled
Delta Airlines,828,Madrid,Sydney,Evening,Morning,On Time
Saudi Arabian Airlines,1490,Tokyo,Dubai,Night,Morning,Cancelled
Turkish Airlines,8306,Paris,Sydney,Morning,Morning,Delayed
Etihad Airways,2838,Sydney,Doha,Afternoon,Afternoon,Delayed
Turkish Airlines,8834,Sydney,Madrid,Night,Night,Cancelled
Saudi Arabian Airlines,9344,Dubai,Dubai,Afternoon,Morning,Delayed
ANA,7903,New York,Madrid,Afternoon,Night,Delayed
Turkish Airlines,3428,Paris,Tokyo,Morning,Night,Delayed
Emirates,7774,Rome,Madrid,Afternoon,Afternoon,Cancelled
South Korea Air,2516,Dubai,Dubai,Evening,Afternoon,On Time
Kuwait Airways,412,Berlin,Madrid,Evening,Evening,On Time
Qatar Airways,8377,Tokyo,New York,Morning,Morning,Delayed
Saudi Arabian Airlines,1140,London,New York,Evening,Afternoon,Delayed
Lufthansa,2938,Paris,Tokyo,Night,Night,Delayed
Lufthansa,3194,Paris,London,Evening,Morning,On Time
Japan Airlines,2917,Tokyo,Dubai,Night,Evening,Cancelled
Turkish Airlines,6130,Tokyo,Tokyo,Morning,Morning,Cancelled
Delta Airlines,822,Dubai,New York,Night,Morning,Delayed
ANA,5957,Dubai,Tokyo,Night,Evening,On Time
Air Algerie,1049,London,New York,Night,Evening,Delayed
Turkish Airlines,8602,New York,Madrid,Night,Afternoon,Delayed
Etihad Airways,822,London,Dubai,Afternoon,Evening,On Time
South Korea Air,9364,London,Berlin,Evening,Night,Delayed
ITA Airways,4073,New York,Paris,Night,Afternoon,Delayed
South Korea Air,2129,Berlin,Madrid,Night,Night,Cancelled
Qatar Airways,4103,Paris,Tokyo,Morning,Afternoon,Delayed
British Airways,3937,Berlin,Paris,Afternoon,Night,Cancelled
Air Algerie,3316,Rome,Sydney,Morning,Afternoon,Cancelled
ANA,4468,Sydney,Dubai,Evening,Evening,Delayed
Qatar Airways,7155,Paris,Rome,Afternoon,Afternoon,On Time
Swiss International Air Lines,9200,Dubai,Tokyo,Afternoon,Night,On Time
Kuwait Airways,184,New York,London,Night,Evening,On Time
Saudi Arabian Airlines,7222,Dubai,Madrid,Night,Morning,Delayed
American Airlines,2956,Madrid,Rome,Evening,Night,Cancelled
Japan Airlines,768,Tokyo,Tokyo,Morning,Night,Delayed
Saudi Arabian Airlines,7472,Tokyo,Rome,Morning,Afternoon,Delayed
South Korea Air,6655,London,Rome,Evening,Night,On Time
Swiss International Air Lines,7347,Paris,Paris,Evening,Evening,Delayed
British Airways,1350,Doha,Dubai,Evening,Afternoon,On Time
Saudi Arabian Airlines,9275,Berlin,London,Evening,Morning,Cancelled
British Airways,9349,Berlin,Dubai,Night,Morning,Cancelled
British Airways,911,Doha,Dubai,Morning,Morning,Cancelled
Qatar Airways,8534,Madrid,London,Morning,Afternoon,Cancelled
American Airlines,7329,London,Tokyo,Evening,Afternoon,On Time
Qatar Airways,6536,London,Doha,Afternoon,Night,Cancelled
ITA Airways,1615,New York,Dubai,Evening,Evening,On Time
Delta Airlines,4594,Tokyo,Sydney,Night,Afternoon,Delayed
Air Algerie,8508,Paris,Doha,Afternoon,Night,Delayed
British Airways,9153,Dubai,Rome,Night,Evening,On Time
Qatar Airways,5182,Tokyo,Paris,Evening,Night,On Time
Japan Airlines,4035,Berlin,New York,Afternoon,Night,Cancelled
British Airways,3680,New York,Madrid,Evening,Morning,Delayed
Saudi Arabian Airlines,6756,Berlin,Berlin,Evening,Afternoon,Cancelled
Air Algerie,4622,Rome,Doha,Morning,Morning,Cancelled
South Korea Air,3022,Doha,London,Afternoon,Afternoon,Cancelled
South Korea Air,8588,Paris,New York,Evening,Morning,On Time
Kuwait Airways,6425,Tokyo,Madrid,Evening,Afternoon,Delayed
ANA,7421,Doha,Berlin,Afternoon,Evening,On Time
South Korea Air,2778,Dubai,New York,Afternoon,Night,Delayed
American Airlines,590,New York,Berlin,Morning,Morning,Cancelled
ITA Airways,4725,Madrid,New York,Night,Evening,Delayed
Qatar Airways,6350,Doha,Berlin,Night,Evening,Cancelled
Etihad Airways,7839,New York,London,Morning,Morning,Cancelled
Air Algerie,2294,Dubai,Dubai,Morning,Evening,Delayed
British Airways,8135,Rome,Madrid,Afternoon,Afternoon,Cancelled
Lufthansa,413,New York,Madrid,Night,Afternoon,On Time
Swiss International Air Lines,9985,Paris,Dubai,Morning,Evening,Cancelled
American Airlines,2992,Madrid,Paris,Morning,Evening,Delayed
Kuwait Airways,9496,Paris,Sydney,Night,Night,Delayed
Etihad Airways,3910,Rome,New York,Night,Night,Cancelled
Japan Airlines,5534,Doha,Doha,Evening,Afternoon,Delayed
Air Algerie,6979,Paris,Sydney,Morning,Evening,Delayed
Kuwait Airways,7220,Paris,Rome,Afternoon,Afternoon,Delayed
Air Algerie,9649,Sydney,Berlin,Night,Evening,Cancelled
Japan Airlines,4906,Doha,Rome,Morning,Night,On Time
Lufthansa,9685,Berlin,Dubai,Afternoon,Night,On Time
Etihad Airways,4567,Paris,Paris,Night,Night,Cancelled
Qatar Airways,766,Paris,Madrid,Morning,Afternoon,On Time
Etihad Airways,2629,New York,Tokyo,Evening,Afternoon,On Time
South Korea Air,1635,London,New York,Evening,Evening,Delayed
Emirates,4815,Tokyo,Paris,Evening,Evening,Delayed
Qatar Airways,2130,Paris,Madrid,Morning,Morning,Delayed
British Airways,5794,Sydney,Doha,Night,Afternoon,On Time
Delta Airlines,8172,Paris,New York,Evening,Afternoon,Delayed
Lufthansa,5193,Madrid,Berlin,Afternoon,Evening,Delayed
Swiss International Air Lines,8773,Madrid,Madrid,Morning,Afternoon,On Time
Saudi Arabian Airlines,3668,New York,London,Afternoon,Afternoon,Cancelled
